Date,AAPL
1/02/2018 16:00,43.07
1/03/2018 16:00,43.06
1/04/2018 16:00,43.26
1/05/2018 16:00,43.75
1/08/2018 16:00,43.59
1/09/2018 16:00,43.58
1/10/2018 16:00,43.57
1/11/2018 16:00,43.82
1/12/2018 16:00,44.27
1/16/2018 16:00:00,44.05
1/17/2018 16:00:00,44.78
1/18/2018 16:00:00,44.82
1/19/2018 16:00:00,44.62
1/22/2018 16:00:00,44.25
1/23/2018 16:00:00,44.26
1/24/2018 16:00:00,43.56
1/25/2018 16:00:00,42.78
1/26/2018 16:00:00,42.88
1/29/2018 16:00:00,41.99
1/30/2018 16:00:00,41.74
1/31/2018 16:00:00,41.86
2/01/2018 16:00,41.95
2/02/2018 16:00,40.13
2/05/2018 16:00,39.12
2/06/2018 16:00,40.76
2/07/2018 16:00,39.89
2/08/2018 16:00,38.79
2/09/2018 16:00,39.1
2/12/2018 16:00,40.68
2/13/2018 16:00:00,41.09
2/14/2018 16:00:00,41.84
2/15/2018 16:00:00,43.25
2/16/2018 16:00:00,43.11
2/20/2018 16:00:00,42.96
2/21/2018 16:00:00,42.77
2/22/2018 16:00:00,43.13
2/23/2018 16:00:00,43.88
2/26/2018 16:00:00,44.74
2/27/2018 16:00:00,44.6
2/28/2018 16:00:00,44.53
3/01/2018 16:00,43.75
3/02/2018 16:00,44.05
3/05/2018 16:00,44.21
3/06/2018 16:00,44.17
3/07/2018 16:00,43.76
3/08/2018 16:00,44.24
3/09/2018 16:00,45
3/12/2018 16:00,45.43
3/13/2018 16:00:00,44.99
3/14/2018 16:00:00,44.61
3/15/2018 16:00:00,44.66
3/16/2018 16:00:00,44.51
3/19/2018 16:00:00,43.83
3/20/2018 16:00:00,43.81
3/21/2018 16:00:00,42.82
3/22/2018 16:00:00,42.21
3/23/2018 16:00:00,41.24
3/26/2018 16:00:00,43.19
3/27/2018 16:00:00,42.09
3/28/2018 16:00:00,41.62
3/29/2018 16:00:00,41.95
4/02/2018 16:00,41.67
4/03/2018 16:00,42.1
4/04/2018 16:00,42.9
4/05/2018 16:00,43.2
4/06/2018 16:00,42.1
4/09/2018 16:00,42.51
4/10/2018 16:00,43.31
4/11/2018 16:00,43.11
4/12/2018 16:00,43.54
4/13/2018 16:00:00,43.68
4/16/2018 16:00:00,43.96
4/17/2018 16:00:00,44.56
4/18/2018 16:00:00,44.46
4/19/2018 16:00:00,43.2
4/20/2018 16:00:00,41.43
4/23/2018 16:00:00,41.31
4/24/2018 16:00:00,40.74
4/25/2018 16:00:00,40.91
4/26/2018 16:00:00,41.06
4/27/2018 16:00:00,40.58
4/30/2018 16:00:00,41.32
5/01/2018 16:00,42.28
5/02/2018 16:00,44.14
5/03/2018 16:00,44.22
5/04/2018 16:00,45.96
5/07/2018 16:00,46.29
5/08/2018 16:00,46.51
5/09/2018 16:00,46.84
5/10/2018 16:00,47.51
5/11/2018 16:00,47.15
5/14/2018 16:00:00,47.04
5/15/2018 16:00:00,46.61
5/16/2018 16:00:00,47.05
5/17/2018 16:00:00,46.75
5/18/2018 16:00:00,46.58
5/21/2018 16:00:00,46.91
5/22/2018 16:00:00,46.79
5/23/2018 16:00:00,47.09
5/24/2018 16:00:00,47.04
5/25/2018 16:00:00,47.15
5/29/2018 16:00:00,46.98
5/30/2018 16:00:00,46.88
5/31/2018 16:00:00,46.72
6/01/2018 16:00,47.56
6/04/2018 16:00,47.96
6/05/2018 16:00,48.33
6/06/2018 16:00,48.5
6/07/2018 16:00,48.37
6/08/2018 16:00,47.93
6/11/2018 16:00,47.81
6/12/2018 16:00,48.07
6/13/2018 16:00:00,47.68
6/14/2018 16:00:00,47.7
6/15/2018 16:00:00,47.21
6/18/2018 16:00:00,47.19
6/19/2018 16:00:00,46.42
6/20/2018 16:00:00,46.63
6/21/2018 16:00:00,46.37
6/22/2018 16:00:00,46.23
6/25/2018 16:00:00,45.54
6/26/2018 16:00:00,46.11
6/27/2018 16:00:00,46.04
6/28/2018 16:00:00,46.38
6/29/2018 16:00:00,46.28
7/02/2018 16:00,46.8
7/03/2018 13:00,45.98
7/05/2018 16:00,46.35
7/06/2018 16:00,46.99
7/09/2018 16:00,47.65
7/10/2018 16:00,47.59
7/11/2018 16:00,46.97
7/12/2018 16:00,47.76
7/13/2018 16:00:00,47.83
7/16/2018 16:00:00,47.73
7/17/2018 16:00:00,47.86
7/18/2018 16:00:00,47.6
7/19/2018 16:00:00,47.97
7/20/2018 16:00:00,47.86
7/23/2018 16:00:00,47.86
7/24/2018 16:00:00,48.25
7/25/2018 16:00:00,48.71
7/26/2018 16:00:00,48.55
7/27/2018 16:00:00,47.75
7/30/2018 16:00:00,47.48
7/31/2018 16:00:00,47.57
8/01/2018 16:00,50.38
8/02/2018 16:00,51.85
8/03/2018 16:00,52
8/06/2018 16:00,52.27
8/07/2018 16:00,51.78
8/08/2018 16:00,51.81
8/09/2018 16:00,52.22
8/10/2018 16:00,51.88
8/13/2018 16:00:00,52.22
8/14/2018 16:00:00,52.44
8/15/2018 16:00:00,52.56
8/16/2018 16:00:00,53.33
8/17/2018 16:00:00,54.4
8/20/2018 16:00:00,53.87
8/21/2018 16:00:00,53.76
8/22/2018 16:00:00,53.76
8/23/2018 16:00:00,53.87
8/24/2018 16:00:00,54.04
8/27/2018 16:00:00,54.49
8/28/2018 16:00:00,54.93
8/29/2018 16:00:00,55.75
8/30/2018 16:00:00,56.26
8/31/2018 16:00:00,56.91
9/04/2018 16:00,57.09
9/05/2018 16:00,56.72
9/06/2018 16:00,55.78
9/07/2018 16:00,55.33
9/10/2018 16:00,54.58
9/11/2018 16:00,55.96
9/12/2018 16:00,55.27
9/13/2018 16:00:00,56.6
9/14/2018 16:00:00,55.96
9/17/2018 16:00:00,54.47
9/18/2018 16:00:00,54.56
9/19/2018 16:00:00,54.59
9/20/2018 16:00:00,55.01
9/21/2018 16:00:00,54.42
9/24/2018 16:00:00,55.2
9/25/2018 16:00:00,55.55
9/26/2018 16:00:00,55.11
9/27/2018 16:00:00,56.24
9/28/2018 16:00:00,56.44
10/01/2018 16:00,56.82
10/02/2018 16:00,57.32
10/03/2018 16:00,58.02
10/04/2018 16:00,57
10/05/2018 16:00,56.07
10/08/2018 16:00,55.94
10/09/2018 16:00,56.72
10/10/2018 16:00,54.09
10/11/2018 16:00,53.61
10/12/2018 16:00,55.53
10/15/2018 16:00:00,54.34
10/16/2018 16:00:00,55.54
10/17/2018 16:00:00,55.3
10/18/2018 16:00:00,54.01
10/19/2018 16:00:00,54.83
10/22/2018 16:00:00,55.16
10/23/2018 16:00:00,55.68
10/24/2018 16:00:00,53.77
10/25/2018 16:00:00,54.95
10/26/2018 16:00:00,54.08
10/29/2018 16:00:00,53.06
10/30/2018 16:00:00,53.33
10/31/2018 16:00:00,54.72
11/01/2018 16:00,55.56
11/02/2018 16:00,51.87
11/05/2018 16:00,50.4
11/06/2018 16:00,50.94
11/07/2018 16:00,52.49
11/08/2018 16:00,52.12
11/09/2018 16:00,51.12
11/12/2018 16:00,48.54
11/13/2018 16:00:00,48.06
11/14/2018 16:00:00,46.7
11/15/2018 16:00:00,47.85
11/16/2018 16:00:00,48.38
11/19/2018 16:00:00,46.47
11/20/2018 16:00:00,44.25
11/21/2018 16:00:00,44.2
11/23/2018 13:00:00,43.07
11/26/2018 16:00:00,43.66
11/27/2018 16:00:00,43.56
11/28/2018 16:00:00,45.24
11/29/2018 16:00:00,44.89
11/30/2018 16:00:00,44.65
12/03/2018 16:00,46.21
12/04/2018 16:00,44.17
12/06/2018 16:00,43.68
12/07/2018 16:00,42.12
12/10/2018 16:00,42.4
12/11/2018 16:00,42.16
12/12/2018 16:00,42.28
12/13/2018 16:00:00,42.74
12/14/2018 16:00:00,41.37
12/17/2018 16:00:00,40.99
12/18/2018 16:00:00,41.52
