Date,ACDC
9/03/2018 16:00,50.95
9/04/2018 16:00,50.66
9/05/2018 16:00,50.31
9/06/2018 16:00,50.09
9/07/2018 16:00,49.98
9/10/2018 16:00,50.21
9/11/2018 16:00,50.31
9/12/2018 16:00,50.14
9/13/2018 16:00:00,49.86
9/14/2018 16:00:00,50.64
9/17/2018 16:00:00,51.04
9/18/2018 16:00:00,51.09
9/19/2018 16:00:00,51.01
9/20/2018 16:00:00,51.15
9/21/2018 16:00:00,51.52
9/24/2018 16:00:00,51.52
9/25/2018 16:00:00,51.5
9/26/2018 16:00:00,51.22
9/27/2018 16:00:00,51.2
9/28/2018 16:00:00,51.31
10/01/2018 16:00,50.99
10/02/2018 16:00,51.4
10/03/2018 16:00,51.3
10/04/2018 16:00,51.65
10/05/2018 16:00,51.26
10/08/2018 16:00,51.1
10/09/2018 16:00,50.5
10/10/2018 16:00,49.86
10/11/2018 16:00,48.31
10/12/2018 16:00,48.35
10/15/2018 16:00:00,48.23
10/16/2018 16:00:00,48.09
10/17/2018 16:00:00,48.95
10/18/2018 16:00:00,48.64
10/19/2018 16:00:00,48.17
10/22/2018 16:00:00,48.2
10/23/2018 16:00:00,47.62
10/24/2018 16:00:00,47.88
10/25/2018 16:00:00,47.12
10/26/2018 16:00:00,46.86
10/29/2018 16:00:00,46.8
10/30/2018 16:00:00,46.96
10/31/2018 16:00:00,47.42
11/01/2018 16:00,47.82
11/02/2018 16:00,48.07
11/05/2018 16:00,48.36
11/06/2018 16:00,48.18
11/07/2018 16:00,48.26
11/08/2018 16:00,48.3
11/09/2018 16:00,48.12
11/12/2018 16:00,47.88
11/13/2018 16:00:00,46.95
11/14/2018 16:00:00,47.4
11/15/2018 16:00:00,47.11
11/16/2018 16:00:00,47.42
11/19/2018 16:00:00,47.84
11/20/2018 16:00:00,47.2
11/21/2018 16:00:00,46.7
11/22/2018 16:00:00,46.76
11/23/2018 16:00:00,46.68
11/26/2018 16:00:00,46.41
11/27/2018 16:00:00,46.95
11/28/2018 16:00:00,47
11/29/2018 16:00:00,47.37
11/30/2018 16:00:00,47.3
12/03/2018 16:00,47.75
12/04/2018 16:00,47.45
12/05/2018 16:00,46.9
12/06/2018 16:00,46.5
12/07/2018 16:00,46.47
12/10/2018 16:00,45.55
12/11/2018 16:00,45
12/12/2018 16:00,45.53
12/13/2018 16:00:00,46.06
12/14/2018 16:00:00,45.82
12/17/2018 16:00:00,45.55
12/18/2018 16:00:00,45
12/19/2018 16:00:00,44.74
12/20/2018 16:00:00,44.5
12/21/2018 16:00:00,43.49
12/24/2018 14:10:00,43.23
12/27/2018 16:00:00,44.59
12/28/2018 16:00:00,44.21
12/31/2018 14:10:00,44.56
1/02/2019 16:00,44.29
1/04/2019 16:00,43.83
1/07/2019 16:00,45.09
1/08/2019 16:00,45.48
1/09/2019 16:00,45.66
1/10/2019 16:00,45.6
1/11/2019 16:00,45.55
1/14/2019 16:00:00,45.19
1/15/2019 16:00:00,45.79
1/16/2019 16:00:00,45.56
1/18/2019 16:00:00,45.82
1/21/2019 16:00:00,46.3
1/22/2019 16:00:00,46.06
1/23/2019 16:00:00,45.91
1/24/2019 16:00:00,45.47
1/25/2019 16:00:00,46.43
1/29/2019 16:00:00,46
1/30/2019 16:00:00,46
1/31/2019 16:00:00,46.42
2/01/2019 16:00,46.8
2/04/2019 16:00,46.86
2/05/2019 16:00,46.98
2/06/2019 16:00,47.3
2/07/2019 16:00,47.73
2/08/2019 16:00,46.78
2/11/2019 16:00,46.23
2/12/2019 16:00,46.51
2/13/2019 16:00:00,46.64
2/14/2019 16:00:00,46.94
2/15/2019 16:00:00,46.87
2/18/2019 16:00:00,47.45
2/19/2019 16:00:00,47.56
2/20/2019 16:00:00,47.45
2/21/2019 16:00:00,47.99
2/22/2019 16:00:00,47.86
2/25/2019 16:00:00,48.41
2/26/2019 16:00:00,48.49
2/27/2019 16:00:00,48.26
2/28/2019 16:00:00,48.57
3/01/2019 16:00,48.31
3/04/2019 16:00,48.36
3/05/2019 16:00,47.85
3/06/2019 16:00,48
3/07/2019 16:00,47.73
3/08/2019 16:00,47.09
3/11/2019 16:00,46.99
3/12/2019 16:00,47.69
3/13/2019 16:00:00,47.13
3/14/2019 16:00:00,47.47
3/15/2019 16:00:00,47.56
3/18/2019 16:00:00,47.56
3/19/2019 16:00:00,47.69
3/20/2019 16:00:00,47.55
3/21/2019 16:00:00,47.21
3/22/2019 16:00:00,47.7
3/25/2019 16:00:00,46.63
3/26/2019 16:00:00,46.93
3/27/2019 16:00:00,46.56
3/28/2019 16:00:00,46.56
3/29/2019 16:00:00,46.66
4/01/2019 16:00,47.39
4/02/2019 16:00,47.94
4/03/2019 16:00,48.17
4/04/2019 16:00,48.21
4/05/2019 16:00,48.4
4/08/2019 16:00,48.62
4/09/2019 16:00,48.5
4/10/2019 16:00,48.3
4/11/2019 16:00,48.14
4/12/2019 16:00,48.22
4/15/2019 16:00:00,48.44
4/16/2019 16:00:00,48.35
4/17/2019 16:00:00,48.73
4/18/2019 16:00:00,48.5
4/23/2019 16:00:00,48.8
4/24/2019 16:00:00,48.98
4/26/2019 16:00:00,48.87
4/29/2019 16:00:00,48.92
4/30/2019 16:00:00,49.1
5/01/2019 16:00,49.24
5/02/2019 16:00,49.21
5/03/2019 16:00,49.61
5/06/2019 16:00,49.33
5/07/2019 16:00,49.08
5/08/2019 16:00,48.43
5/09/2019 16:00,48.22
5/10/2019 16:00,48.22
5/13/2019 16:00:00,47.78
5/14/2019 16:00:00,47.16
5/16/2019 16:00:00,47.69
5/17/2019 16:00:00,48.29
5/20/2019 16:00:00,47.43
5/21/2019 16:00:00,47.04
5/22/2019 16:00:00,47.38
5/23/2019 16:00:00,46.67
5/24/2019 16:00:00,46.26
5/27/2019 16:00:00,45.89
5/28/2019 16:00:00,46.4
5/29/2019 16:00:00,45.98
5/30/2019 16:00:00,45.99
5/31/2019 16:00:00,45.84
6/03/2019 16:00,45.51
6/04/2019 16:00,45.66
6/05/2019 16:00,46.78
6/06/2019 16:00,46.5
6/07/2019 16:00,46.78
6/11/2019 16:00,47.63
6/12/2019 16:00,47.95
6/13/2019 16:00:00,47.81
6/14/2019 16:00:00,47.89
6/17/2019 16:00:00,47.57
6/18/2019 16:00:00,48
6/19/2019 16:00:00,48.3
6/20/2019 16:00:00,48.62
6/21/2019 16:00:00,48.11
6/24/2019 16:00:00,48.41
6/26/2019 16:00:00,47.52
6/27/2019 16:00:00,47.89
6/28/2019 16:00:00,46.78
7/01/2019 16:00,47.55
7/02/2019 16:00,47.9
7/03/2019 16:00,47.37
7/04/2019 16:00,47.45
7/05/2019 16:00,47.57
7/08/2019 16:00,47.4
7/09/2019 16:00,46.85
7/10/2019 16:00,46.91
7/11/2019 16:00,46.98
