Date,ALD
1/02/2018 16:00,34.2
1/03/2018 16:00,34.31
1/04/2018 16:00,34.48
1/05/2018 16:00,34.55
1/08/2018 16:00,34.42
1/09/2018 16:00,34.5
1/10/2018 16:00,34.67
1/11/2018 16:00,34.79
1/12/2018 16:00,35.5
1/15/2018 16:00:00,35.31
1/16/2018 16:00:00,35.19
1/17/2018 16:00:00,35.04
1/18/2018 16:00:00,34.75
1/19/2018 16:00:00,34.66
1/22/2018 16:00:00,34.66
1/23/2018 16:00:00,35.01
1/24/2018 16:00:00,35.28
1/25/2018 16:00:00,34.9
1/29/2018 16:00:00,35.45
1/30/2018 16:00:00,35.14
1/31/2018 16:00:00,34.77
2/01/2018 16:00,34.86
2/02/2018 16:00,35.79
2/05/2018 16:00,35.32
2/06/2018 16:00,34.13
2/07/2018 16:00,34.45
2/08/2018 16:00,34.14
2/09/2018 16:00,34.08
2/12/2018 16:00,33.64
2/13/2018 16:00:00,33.7
2/14/2018 16:00:00,33.52
2/15/2018 16:00:00,33.15
2/16/2018 16:00:00,33.13
2/19/2018 16:00:00,33.15
2/20/2018 16:00:00,33.63
2/21/2018 16:00:00,33.9
2/22/2018 16:00:00,33.98
2/23/2018 16:00:00,34.6
2/26/2018 16:00:00,35
2/27/2018 16:00:00,36.42
2/28/2018 16:00:00,35.17
3/01/2018 16:00,34.4
3/02/2018 16:00,33.82
3/05/2018 16:00,33.35
3/06/2018 16:00,33.81
3/07/2018 16:00,33.53
3/08/2018 16:00,33.3
3/09/2018 16:00,33.38
3/12/2018 16:00,32.9
3/13/2018 16:00:00,32.74
3/14/2018 16:00:00,32.53
3/15/2018 16:00:00,31.82
3/16/2018 16:00:00,31.82
3/19/2018 16:00:00,31.63
3/20/2018 16:00:00,31.41
3/21/2018 16:00:00,31.63
3/22/2018 16:00:00,31.88
3/23/2018 16:00:00,31.67
3/26/2018 16:00:00,31.28
3/27/2018 16:00:00,31.02
3/28/2018 16:00:00,31.07
3/29/2018 16:00:00,31.4
4/03/2018 16:00,31.42
4/04/2018 16:00,31.42
4/05/2018 16:00,31.93
4/06/2018 16:00,31.78
4/09/2018 16:00,31.75
4/10/2018 16:00,31.8
4/11/2018 16:00,31.75
4/12/2018 16:00,31.8
4/13/2018 16:00:00,31.71
4/16/2018 16:00:00,31.83
4/17/2018 16:00:00,31.87
4/18/2018 16:00:00,31.8
4/19/2018 16:00:00,31.83
4/20/2018 16:00:00,31.8
4/23/2018 16:00:00,31.37
4/24/2018 16:00:00,30.97
4/26/2018 16:00:00,30.87
4/27/2018 16:00:00,30.87
4/30/2018 16:00:00,31.02
5/01/2018 16:00,31.29
5/02/2018 16:00,30.81
5/03/2018 16:00,31.05
5/04/2018 16:00,30.63
5/07/2018 16:00,30.98
5/08/2018 16:00,30.62
5/09/2018 16:00,30.43
5/10/2018 16:00,29.88
5/11/2018 16:00,30.45
5/14/2018 16:00:00,30.79
5/15/2018 16:00:00,30.62
5/16/2018 16:00:00,30.67
5/17/2018 16:00:00,30.69
5/18/2018 16:00:00,30.81
5/21/2018 16:00:00,30.46
5/22/2018 16:00:00,30.1
5/23/2018 16:00:00,29.77
5/24/2018 16:00:00,29.4
5/25/2018 16:00:00,29.43
5/28/2018 16:00:00,29.03
5/29/2018 16:00:00,28.54
5/30/2018 16:00:00,28.84
5/31/2018 16:00:00,29.42
6/01/2018 16:00,29.81
6/04/2018 16:00,29.5
6/05/2018 16:00,29.25
6/06/2018 16:00,29.18
6/07/2018 16:00,29.29
6/08/2018 16:00,29.35
6/12/2018 16:00,30.17
6/13/2018 16:00:00,30.57
6/14/2018 16:00:00,30.32
6/15/2018 16:00:00,30.55
6/18/2018 16:00:00,30.96
6/19/2018 16:00:00,31.12
6/20/2018 16:00:00,31.8
6/21/2018 16:00:00,32.32
6/22/2018 16:00:00,32.25
6/25/2018 16:00:00,32.68
6/26/2018 16:00:00,32.68
6/27/2018 16:00:00,32.6
6/28/2018 16:00:00,32.86
6/29/2018 16:00:00,32.54
7/02/2018 16:00,32.53
7/03/2018 16:00,33.03
7/04/2018 16:00,32.47
7/05/2018 16:00,32.56
7/06/2018 16:00,32.07
7/09/2018 16:00,31.21
7/10/2018 16:00,31.13
7/11/2018 16:00,31.18
7/12/2018 16:00,31.14
7/13/2018 16:00:00,30.7
7/16/2018 16:00:00,31.06
7/17/2018 16:00:00,30.66
7/18/2018 16:00:00,30.87
7/19/2018 16:00:00,31.28
7/20/2018 16:00:00,31.02
7/23/2018 16:00:00,30.73
7/24/2018 16:00:00,31.05
7/25/2018 16:00:00,31.22
7/26/2018 16:00:00,31.65
7/27/2018 16:00:00,32.01
7/30/2018 16:00:00,32.2
7/31/2018 16:00:00,32.56
8/01/2018 16:00,32.55
8/02/2018 16:00,32.64
8/03/2018 16:00,32.84
8/06/2018 16:00,32.92
8/07/2018 16:00,33.1
8/08/2018 16:00,33.23
8/09/2018 16:00,33.6
8/10/2018 16:00,33.11
8/13/2018 16:00:00,33.07
8/14/2018 16:00:00,33.15
8/15/2018 16:00:00,33.13
8/16/2018 16:00:00,33.23
8/17/2018 16:00:00,32.94
8/20/2018 16:00:00,33.22
8/21/2018 16:00:00,32.84
8/22/2018 16:00:00,32.4
8/23/2018 16:00:00,32.82
8/24/2018 16:00:00,33.06
8/27/2018 16:00:00,33.3
8/28/2018 16:00:00,30.68
8/29/2018 16:00:00,30.59
8/30/2018 16:00:00,30.01
8/31/2018 16:00:00,30.21
9/03/2018 16:00,30.23
9/04/2018 16:00,29.74
9/05/2018 16:00,30.15
9/06/2018 16:00,30.19
9/07/2018 16:00,29.75
9/10/2018 16:00,29.09
9/11/2018 16:00,29.7
9/12/2018 16:00,29.72
9/13/2018 16:00:00,29.56
9/14/2018 16:00:00,29.53
9/17/2018 16:00:00,29.69
9/18/2018 16:00:00,29.48
9/19/2018 16:00:00,29.7
9/20/2018 16:00:00,29.24
9/21/2018 16:00:00,29.33
9/24/2018 16:00:00,29.45
9/25/2018 16:00:00,29.84
9/26/2018 16:00:00,29.56
9/27/2018 16:00:00,29.36
9/28/2018 16:00:00,29.9
10/01/2018 16:00,29.53
10/02/2018 16:00,29.48
10/03/2018 16:00,29.99
10/04/2018 16:00,30.07
10/05/2018 16:00,30.09
10/08/2018 16:00,30.27
10/09/2018 16:00,29.91
10/10/2018 16:00,29.95
10/11/2018 16:00,29.47
10/12/2018 16:00,29.16
10/15/2018 16:00:00,29.4
10/16/2018 16:00:00,29.87
10/17/2018 16:00:00,29.84
10/18/2018 16:00:00,30.31
10/19/2018 16:00:00,30.17
10/22/2018 16:00:00,29.43
10/23/2018 16:00:00,28.77
10/24/2018 16:00:00,28.31
10/25/2018 16:00:00,27.61
10/26/2018 16:00:00,27.63
10/29/2018 16:00:00,27.84
10/30/2018 16:00:00,27.4
10/31/2018 16:00:00,28.26
11/01/2018 16:00,27.97
11/02/2018 16:00,27.6
11/05/2018 16:00,27.31
11/06/2018 16:00,27.23
11/07/2018 16:00,27.13
11/08/2018 16:00,27.15
11/09/2018 16:00,27.11
11/12/2018 16:00,27
11/13/2018 16:00:00,27.06
11/14/2018 16:00:00,26.92
11/15/2018 16:00:00,26.85
11/16/2018 16:00:00,26.89
11/19/2018 16:00:00,26.4
11/20/2018 16:00:00,26.3
11/21/2018 16:00:00,26.43
11/22/2018 16:00:00,26.74
11/23/2018 16:00:00,26.84
11/26/2018 16:00:00,27.17
11/27/2018 16:00:00,27.62
11/28/2018 16:00:00,27.37
11/29/2018 16:00:00,27.49
11/30/2018 16:00:00,27.53
12/03/2018 16:00,27.96
12/04/2018 16:00,27.49
12/05/2018 16:00,27.51
12/06/2018 16:00,27.55
12/07/2018 16:00,27.16
12/10/2018 16:00,26.83
12/11/2018 16:00,26.61
12/12/2018 16:00,27.11
12/13/2018 16:00:00,27.03
12/14/2018 16:00:00,26.84
12/17/2018 16:00:00,27.05
12/18/2018 16:00:00,25.57
12/19/2018 16:00:00,25.44
12/20/2018 16:00:00,25.34
12/21/2018 16:00:00,24.9
12/24/2018 14:10:00,25.28
12/27/2018 16:00:00,25.33
12/28/2018 16:00:00,25.87
12/31/2018 14:10:00,25.48
1/02/2019 16:00,25.17
