Date,APA
1/02/2018 16:00,8.38
1/03/2018 16:00,8.36
1/04/2018 16:00,8.27
1/05/2018 16:00,8.22
1/08/2018 16:00,8.27
1/09/2018 16:00,8.2
1/10/2018 16:00,8.12
1/11/2018 16:00,8.05
1/12/2018 16:00,8.05
1/15/2018 16:00:00,8.13
1/16/2018 16:00:00,8.03
1/17/2018 16:00:00,8
1/18/2018 16:00:00,8
1/19/2018 16:00:00,7.88
1/22/2018 16:00:00,7.89
1/23/2018 16:00:00,7.93
1/24/2018 16:00:00,8.03
1/25/2018 16:00:00,8
1/29/2018 16:00:00,8.06
1/30/2018 16:00:00,7.92
1/31/2018 16:00:00,8.03
2/01/2018 16:00,8.13
2/02/2018 16:00,8.26
2/05/2018 16:00,8.27
2/06/2018 16:00,8.08
2/07/2018 16:00,8.01
2/08/2018 16:00,7.96
2/09/2018 16:00,7.95
2/12/2018 16:00,7.76
2/13/2018 16:00:00,7.84
2/14/2018 16:00:00,7.83
2/15/2018 16:00:00,7.83
2/16/2018 16:00:00,7.97
2/19/2018 16:00:00,8.14
2/20/2018 16:00:00,8.23
2/26/2018 16:00:00,7.89
2/27/2018 16:00:00,7.76
2/28/2018 16:00:00,8
3/01/2018 16:00,7.85
3/02/2018 16:00,7.82
3/05/2018 16:00,7.7
3/06/2018 16:00,7.76
3/07/2018 16:00,7.78
3/08/2018 16:00,7.98
3/09/2018 16:00,7.98
3/12/2018 16:00,8.15
3/13/2018 16:00:00,8.05
3/14/2018 16:00:00,8.03
3/15/2018 16:00:00,8.06
3/16/2018 16:00:00,8.14
3/19/2018 16:00:00,8.05
3/20/2018 16:00:00,7.95
3/21/2018 16:00:00,7.94
3/22/2018 16:00:00,7.8
3/23/2018 16:00:00,7.75
3/26/2018 16:00:00,7.68
3/27/2018 16:00:00,7.82
3/28/2018 16:00:00,7.89
3/29/2018 16:00:00,7.88
4/03/2018 16:00,7.72
4/04/2018 16:00,7.7
4/05/2018 16:00,7.8
4/06/2018 16:00,7.79
4/09/2018 16:00,7.95
4/10/2018 16:00,7.95
4/11/2018 16:00,7.77
4/12/2018 16:00,7.8
4/13/2018 16:00:00,7.83
4/16/2018 16:00:00,7.97
4/17/2018 16:00:00,7.9
4/18/2018 16:00:00,7.97
4/19/2018 16:00:00,7.97
4/20/2018 16:00:00,7.94
4/23/2018 16:00:00,7.88
4/24/2018 16:00:00,8.02
4/26/2018 16:00:00,8.09
4/27/2018 16:00:00,8.28
4/30/2018 16:00:00,8.35
5/01/2018 16:00,8.34
5/02/2018 16:00,8.43
5/03/2018 16:00,8.47
