Date,BXB
1/02/2018 16:00,9.97
1/03/2018 16:00,9.93
1/04/2018 16:00,9.88
1/05/2018 16:00,9.98
1/08/2018 16:00,10.03
1/09/2018 16:00,10.03
1/10/2018 16:00,10.07
1/11/2018 16:00,10.13
1/12/2018 16:00,10.14
1/15/2018 16:00:00,10.1
1/16/2018 16:00:00,10.04
1/17/2018 16:00:00,9.94
1/18/2018 16:00:00,9.87
1/19/2018 16:00:00,9.79
1/22/2018 16:00:00,9.81
1/23/2018 16:00:00,9.79
1/24/2018 16:00:00,9.89
1/25/2018 16:00:00,9.92
1/29/2018 16:00:00,9.97
1/30/2018 16:00:00,9.9
1/31/2018 16:00:00,9.9
2/01/2018 16:00,9.93
2/02/2018 16:00,9.98
2/05/2018 16:00,9.93
2/06/2018 16:00,9.61
2/07/2018 16:00,9.66
2/08/2018 16:00,9.78
2/09/2018 16:00,9.81
2/12/2018 16:00,9.7
2/13/2018 16:00:00,9.76
2/14/2018 16:00:00,9.6
2/15/2018 16:00:00,9.58
2/16/2018 16:00:00,9.63
2/19/2018 16:00:00,9.74
2/20/2018 16:00:00,9.64
2/21/2018 16:00:00,9.57
2/22/2018 16:00:00,9.55
2/23/2018 16:00:00,9.64
2/26/2018 16:00:00,9.68
2/27/2018 16:00:00,9.62
2/28/2018 16:00:00,9.6
3/01/2018 16:00,9.51
3/02/2018 16:00,9.44
3/05/2018 16:00,9.42
3/06/2018 16:00,9.5
3/07/2018 16:00,9.26
3/08/2018 16:00,9.29
3/09/2018 16:00,9.42
3/12/2018 16:00,9.41
3/13/2018 16:00:00,9.43
3/14/2018 16:00:00,9.41
3/15/2018 16:00:00,9.55
3/16/2018 16:00:00,9.67
3/19/2018 16:00:00,9.9
3/20/2018 16:00:00,9.99
3/21/2018 16:00:00,9.96
3/22/2018 16:00:00,9.95
3/23/2018 16:00:00,9.73
3/26/2018 16:00:00,9.74
3/27/2018 16:00:00,9.89
3/28/2018 16:00:00,9.97
3/29/2018 16:00:00,9.98
4/03/2018 16:00,9.9
4/04/2018 16:00,9.94
4/05/2018 16:00,9.83
4/06/2018 16:00,9.83
4/09/2018 16:00,9.89
