Date,CHC
1/02/2018 16:00,6.04
1/03/2018 16:00,6.03
1/04/2018 16:00,6.05
1/05/2018 16:00,6.09
1/08/2018 16:00,6.14
1/09/2018 16:00,6.14
1/10/2018 16:00,6.03
1/11/2018 16:00,5.97
1/12/2018 16:00,5.95
1/15/2018 16:00:00,5.92
1/16/2018 16:00:00,5.86
1/17/2018 16:00:00,5.86
1/18/2018 16:00:00,5.86
1/19/2018 16:00:00,5.94
1/22/2018 16:00:00,5.95
1/23/2018 16:00:00,6
1/24/2018 16:00:00,6.04
1/25/2018 16:00:00,5.97
1/29/2018 16:00:00,5.9
1/30/2018 16:00:00,5.83
1/31/2018 16:00:00,5.9
2/01/2018 16:00,5.93
2/02/2018 16:00,5.94
2/05/2018 16:00,5.9
2/06/2018 16:00,5.58
2/07/2018 16:00,5.59
2/08/2018 16:00,5.58
2/09/2018 16:00,5.61
2/12/2018 16:00,5.5
2/13/2018 16:00:00,5.6
2/14/2018 16:00:00,5.65
2/15/2018 16:00:00,5.65
2/16/2018 16:00:00,5.75
2/19/2018 16:00:00,5.74
2/20/2018 16:00:00,5.74
2/21/2018 16:00:00,5.84
2/22/2018 16:00:00,5.76
2/23/2018 16:00:00,5.81
2/26/2018 16:00:00,5.86
2/27/2018 16:00:00,5.88
2/28/2018 16:00:00,5.85
3/01/2018 16:00,5.79
3/02/2018 16:00,5.83
3/05/2018 16:00,5.8
3/06/2018 16:00,5.8
3/07/2018 16:00,5.77
3/08/2018 16:00,5.82
3/09/2018 16:00,5.87
3/12/2018 16:00,5.89
3/13/2018 16:00:00,5.9
3/14/2018 16:00:00,5.86
3/15/2018 16:00:00,5.85
3/16/2018 16:00:00,5.89
3/19/2018 16:00:00,5.91
3/20/2018 16:00:00,5.82
3/21/2018 16:00:00,5.84
3/22/2018 16:00:00,5.78
3/23/2018 16:00:00,5.71
3/26/2018 16:00:00,5.67
3/27/2018 16:00:00,5.71
3/28/2018 16:00:00,5.75
3/29/2018 16:00:00,5.73
4/03/2018 16:00,5.63
4/04/2018 16:00,5.67
4/05/2018 16:00,5.69
4/06/2018 16:00,5.73
4/09/2018 16:00,5.79
4/10/2018 16:00,5.81
4/11/2018 16:00,5.76
4/12/2018 16:00,5.68
4/13/2018 16:00:00,5.69
4/16/2018 16:00:00,5.67
